| Chrom | Mapped # | Mapped MQ0 | Bases Mapped | Avg Length | BAM                                                                | BAI                                                                    | 
| chr15 | 359853   | 19556      | 2268233023   | 6838       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr15.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr15.sorted.bam.bai) | 
| chr16 | 386401   | 22680      | 2425913744   | 6787       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr16.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr16.sorted.bam.bai) | 
| chr17 | 369036   | 22907      | 2302471086   | 6661       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr17.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr17.sorted.bam.bai) | 
| chr18 | 339094   | 13053      | 2172098564   | 6807       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr18.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr18.sorted.bam.bai) | 
| chr19 | 257039   | 10926      | 1472760724   | 6266       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr19.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr19.sorted.bam.bai) | 
| chr20 | 291960   | 13226      | 1829244829   | 6659       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr20.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr20.sorted.bam.bai) | 
| chr21 | 192383   | 24988      | 1207807437   | 6792       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr21.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr21.sorted.bam.bai) | 
| chr22 | 172934   | 10514      | 1041347396   | 6665       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chr22.sorted.bam) | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chr22.sorted.bam.bai) | 
| chrX  | 658347   | 28769      | 4210769167   | 7076       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chrX.sorted.bam)  | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chrX.sorted.bam.bai)  | 
| chrY  | 23378    | 5292       | 133803203    | 7869       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chrY.sorted.bam)  | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chrY.sorted.bam.bai)  | 
| chrM  | 59363    | 658        | 91949786     | 1628       | [BAM](http://s3.amazonaws.com/nanopore-human-wgs/chrM.sorted.bam)  | [BAI](http://s3.amazonaws.com/nanopore-human-wgs/chrM.sorted.bam.bai)  | 
